pcd_path,obj_token,frame_id,depth_path,expected_model_path,expected_obj_id
data/LM-O (Linemod-Occluded)/lmo_test_all/test/_preprocessed_lmo/inst_pcd_visib/000002\000002_000000.ply,0,2,data/LM-O (Linemod-Occluded)/lmo_test_all/test/000002/depth\000002.png,data/LM-O (Linemod-Occluded)/lmo_models/models_eval\obj_000001.ply,1
data/LM-O (Linemod-Occluded)/lmo_test_all/test/_preprocessed_lmo/inst_pcd_visib/000002\000002_000001.ply,1,2,data/LM-O (Linemod-Occluded)/lmo_test_all/test/000002/depth\000002.png,data/LM-O (Linemod-Occluded)/lmo_models/models_eval\obj_000005.ply,5
data/LM-O (Linemod-Occluded)/lmo_test_all/test/_preprocessed_lmo/inst_pcd_visib/000002\000002_000002.ply,2,2,data/LM-O (Linemod-Occluded)/lmo_test_all/test/000002/depth\000002.png,data/LM-O (Linemod-Occluded)/lmo_models/models_eval\obj_000006.ply,6
data/LM-O (Linemod-Occluded)/lmo_test_all/test/_preprocessed_lmo/inst_pcd_visib/000002\000002_000003.ply,3,2,data/LM-O (Linemod-Occluded)/lmo_test_all/test/000002/depth\000002.png,data/LM-O (Linemod-Occluded)/lmo_models/models_eval\obj_000008.ply,8
data/LM-O (Linemod-Occluded)/lmo_test_all/test/_preprocessed_lmo/inst_pcd_visib/000002\000002_000004.ply,4,2,data/LM-O (Linemod-Occluded)/lmo_test_all/test/000002/depth\000002.png,data/LM-O (Linemod-Occluded)/lmo_models/models_eval\obj_000009.ply,9
data/LM-O (Linemod-Occluded)/lmo_test_all/test/_preprocessed_lmo/inst_pcd_visib/000002\000002_000005.ply,5,2,data/LM-O (Linemod-Occluded)/lmo_test_all/test/000002/depth\000002.png,data/LM-O (Linemod-Occluded)/lmo_models/models_eval\obj_000010.ply,10
data/LM-O (Linemod-Occluded)/lmo_test_all/test/_preprocessed_lmo/inst_pcd_visib/000002\000002_000006.ply,6,2,data/LM-O (Linemod-Occluded)/lmo_test_all/test/000002/depth\000002.png,data/LM-O (Linemod-Occluded)/lmo_models/models_eval\obj_000011.ply,11
data/LM-O (Linemod-Occluded)/lmo_test_all/test/_preprocessed_lmo/inst_pcd_visib/000002\000002_000007.ply,7,2,data/LM-O (Linemod-Occluded)/lmo_test_all/test/000002/depth\000002.png,data/LM-O (Linemod-Occluded)/lmo_models/models_eval\obj_000012.ply,12
data/LM-O (Linemod-Occluded)/lmo_test_all/test/_preprocessed_lmo/inst_pcd_visib/000002\000005_000000.ply,0,5,data/LM-O (Linemod-Occluded)/lmo_test_all/test/000002/depth\000005.png,data/LM-O (Linemod-Occluded)/lmo_models/models_eval\obj_000001.ply,1
data/LM-O (Linemod-Occluded)/lmo_test_all/test/_preprocessed_lmo/inst_pcd_visib/000002\000005_000001.ply,1,5,data/LM-O (Linemod-Occluded)/lmo_test_all/test/000002/depth\000005.png,data/LM-O (Linemod-Occluded)/lmo_models/models_eval\obj_000005.ply,5
data/LM-O (Linemod-Occluded)/lmo_test_all/test/_preprocessed_lmo/inst_pcd_visib/000002\000005_000002.ply,2,5,data/LM-O (Linemod-Occluded)/lmo_test_all/test/000002/depth\000005.png,data/LM-O (Linemod-Occluded)/lmo_models/models_eval\obj_000006.ply,6
data/LM-O (Linemod-Occluded)/lmo_test_all/test/_preprocessed_lmo/inst_pcd_visib/000002\000005_000003.ply,3,5,data/LM-O (Linemod-Occluded)/lmo_test_all/test/000002/depth\000005.png,data/LM-O (Linemod-Occluded)/lmo_models/models_eval\obj_000008.ply,8
data/LM-O (Linemod-Occluded)/lmo_test_all/test/_preprocessed_lmo/inst_pcd_visib/000002\000005_000004.ply,4,5,data/LM-O (Linemod-Occluded)/lmo_test_all/test/000002/depth\000005.png,data/LM-O (Linemod-Occluded)/lmo_models/models_eval\obj_000009.ply,9
data/LM-O (Linemod-Occluded)/lmo_test_all/test/_preprocessed_lmo/inst_pcd_visib/000002\000005_000005.ply,5,5,data/LM-O (Linemod-Occluded)/lmo_test_all/test/000002/depth\000005.png,data/LM-O (Linemod-Occluded)/lmo_models/models_eval\obj_000010.ply,10
data/LM-O (Linemod-Occluded)/lmo_test_all/test/_preprocessed_lmo/inst_pcd_visib/000002\000005_000006.ply,6,5,data/LM-O (Linemod-Occluded)/lmo_test_all/test/000002/depth\000005.png,data/LM-O (Linemod-Occluded)/lmo_models/models_eval\obj_000011.ply,11
data/LM-O (Linemod-Occluded)/lmo_test_all/test/_preprocessed_lmo/inst_pcd_visib/000002\000005_000007.ply,7,5,data/LM-O (Linemod-Occluded)/lmo_test_all/test/000002/depth\000005.png,data/LM-O (Linemod-Occluded)/lmo_models/models_eval\obj_000012.ply,12
data/LM-O (Linemod-Occluded)/lmo_test_all/test/_preprocessed_lmo/inst_pcd_visib/000002\000008_000000.ply,0,8,data/LM-O (Linemod-Occluded)/lmo_test_all/test/000002/depth\000008.png,data/LM-O (Linemod-Occluded)/lmo_models/models_eval\obj_000001.ply,1
data/LM-O (Linemod-Occluded)/lmo_test_all/test/_preprocessed_lmo/inst_pcd_visib/000002\000008_000001.ply,1,8,data/LM-O (Linemod-Occluded)/lmo_test_all/test/000002/depth\000008.png,data/LM-O (Linemod-Occluded)/lmo_models/models_eval\obj_000005.ply,5
data/LM-O (Linemod-Occluded)/lmo_test_all/test/_preprocessed_lmo/inst_pcd_visib/000002\000008_000002.ply,2,8,data/LM-O (Linemod-Occluded)/lmo_test_all/test/000002/depth\000008.png,data/LM-O (Linemod-Occluded)/lmo_models/models_eval\obj_000006.ply,6
